"SYMBOL","UNDERLYING ASSET"
"BBNPPGOLD","Baroda BNP Paribas Gold ETF"
"MOQUALITY","Motilal Oswal S&P BSE Quality ETF"
"KOTAKALPHA","NIFTY Alpha 50 Index"
"MASPTOP50","S&P 500 Top 50 Total Return Index"
"MOVALUE","Motilal Oswal S&P BSE Enhanced Value ETF"
"CPSEETF","CPSE ETF"
"MAFANG","NYSE FANG+ Total Return Index"
"IVZINNIFTY","Nifty 50"
"ICICIB22","S&P BSE BHARAT 22 index"
"ALPHAETF","Mirae Asset Nifty 200 Alpha 30 ETF"
"HDFCSML250","HDFC NIFTY Smallcap 250 ETF"
"HDFCVALUE","HDFC NIFTY50 Value 20 ETF"
"DIVOPPBEES","Nifty Dividend Opportunities 50 TRI"
"UTINEXT50","Nifty Next 50"
"TNIDETF","Nifty India Digital Index"
"ALPL30IETF","Nifty Alpha Low-Volatility 30 Index"
"NV20BEES","Nifty50 Value20 TRI"
"MOM30IETF","ICICI Prudential Nifty 200 Momentum 30 ETF"
"SENSEXIETF","SENSEX"
"PSUBNKIETF","ICICI Prudential Nifty PSU Bank ETF"
"INFRABEES","Nifty Infra"
"MON100","Nasdaq100"
"MIDCAPIETF","Nifty Midcap 150"
"MIDSELIETF","S&P BSE Midcap Select Index"
"MOMENTUM","Aditya Birla Sun Life Nifty 200 Momentum 30 ETF"
"CONSUMIETF","Nifty India Consumption Index"
"MID150BEES","Nifty Midcap 150 TRI"
"HDFCNEXT50","HDFC NIFTY NEXT 50 ETF"
"UTISXN50","BSE Sensex Next 50"
"NV20IETF","Nifty50 Value 20"
"MIDCAPETF","Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF"
"JUNIORBEES","Nifty Next 50"
"ABSLNN50ET","Nifty Next 50"
"KOTAKMID50","Nifty Midcap 50 Index"
"PSUBNKBEES","Nifty PSU Bank"
"NEXT50","Nifty Next 50"
"BSE500IETF","S&P BSE 500 index"
"HDFCNIFIT","HDFC NIFTY IT ETF"
"SETFNN50","Nifty Next 50"
"TECH","Nifty IT TRI Index"
"INFRAIETF","ICICI Prudential Nifty Infrastructure ETF"
"FINIETF","ICICI Prudential Nifty Financial Services Ex-Bank ETF"
"COMMOIETF","ICICI Prudential Nifty Commodities ETF"
"BFSI","Nifty Financial Services Index"
"MONQ50","Nasdaq Q-50 Total Return Index"
"HDFCMID150","HDFC NIFTY Midcap 150 ETF"
"HDFCGROWTH","HDFC NIFTY Growth Sectors 15 ETF"
"HDFCMOMENT","HDFC NIFTY200 Momentum 30 ETF"
"CONSUMBEES","Nifty India Consumption TRI"
"IDFNIFTYET","Nifty 50"
"MOM100","Nifty Midcap 100"
"ITBEES","Nifty IT TRI"
"NEXT50IETF","Nifty Next 50"
"MOMOMENTUM","Nifty 200 Momentum 30 Total Return Index"
"DSPPSBKETF","DSP Nifty PSU Bank ETF"
"DSPITETF","DSP Nifty IT ETF"
"HDFCSENSEX","SENSEX"
"DSPGOLDETF","DSP Gold ETF"
"KOTAKCONS","Kotak Nifty India Consumption ETF"
"NIF100IETF","Nifty 100"
"PVTBANIETF","Nifty Private Bank Index"
"LICNFNHGP","Nifty 100"
"UTISENSETF","SENSEX"
"FMCGIETF","Nifty FMCG Index"
"SBIETFIT","Nifty IT Index"
"AXISNIFTY","Nifty 50"
"AXISTECETF","NIFTY IT Index"
"SILVRETF","Mirae Asset Silver ETF"
"SBIETFCON","Nifty India Consumption Index"
"AUTOIETF","Nifty Auto Index"
"UTINIFTETF","Nifty 50"
"AUTOBEES","Nifty Auto TRI"
"KOTAKIT","NIFTY IT Index"
"SETFNIFBK","Nifty Bank"
"MOM50","Nifty 50"
"BANKBEES","Nifty Bank"
"AXISBNKETF","Nifty Bank"
"QNIFTY","Nifty 50"
"ITIETF","Nifty IT Index"
"MOHEALTH","Motilal Oswal S&P BSE Healthcare ETF"
"GOLDETF","Mirae Asset Gold ETF"
"BANKETF","Mirae Asset Nifty Bank ETF"
"QUAL30IETF","ICICI Prudential Nifty 200 Quality 30 ETF"
"SHARIABEES","Shariah"
"ESG","NIFTY100 ESG SECTOR LEADERS"
"BSLNIFTY","Nifty 50"
"HDFCPVTBAN","HDFC NIFTY Private Bank ETF"
"HDFCNIFTY","Nifty 50"
"KOTAKBKETF","Nifty Bank"
"AXISCETF","NIFTY India Consumption Index"
"KOTAKPSUBK","Nifty PSU Bank"
"DSPN50ETF","Nifty 50 Index"
"ABSLBANETF","Nifty Bank"
"BANKIETF","Nifty Bank"
"SETFNIF50","Nifty 50"
"MONIFTY500","Motilal Oswal Nifty 500 ETF"
"NIFTYIETF","Nifty 50"
"NIFMID150","UTI Nifty Midcap 150 Exchange Traded Fund (ETF)"
"LICMFGOLD","Gold"
"KOTAKGOLD","Gold"
"NPBET","Nifty Private Bank Index"
"MAKEINDIA","Nifty India Manufacturing Total Return Index"
"NIFTYETF","Nifty 50"
"HDFCNIFBAN","Nifty Bank"
"AXISGOLD","Gold"
"NIFTYBEES","Nifty 50"
"HDFCQUAL","HDFC NIFTY100 Quality 30 ETF"
"HEALTHY","Nifty Healthcare TRI"
"HDFCNIF100","HDFC NIFTY 100 ETF"
"QGOLDHALF","Gold"
"NAVINIFTY","Navi Nifty 50 ETF"
"GOLDBEES","Gold"
"SBIETFQLTY","Nifty 200 Quality 30 Index"
"LOWVOLIETF","Nifty 100 Low Volatility 30 Index"
"GOLDSHARE","Gold"
"KOTAKNIFTY","Nifty 50"
"ITETF","Mirae Asset Nifty IT ETF"
"GOLDIETF","Gold"
"HDFCLOWVOL","HDFC NIFTY100 Low Volatility 30 ETF"
"DSPBANKETF","DSP Nifty Bank ETF"
"SENSEXETF","Mirae Asset S&P BSE Sensex ETF"
"HEALTHIETF","Nifty Healthcare Index"
"UTIBANKETF","Nifty Bank"
"MOLOWVOL","Nifty Midcap 100 TRI"
"NIF100BEES","Nifty 100 TRI"
"HDFCGOLD","Gold"
"EGOLD","Edelweiss Gold ETF"
"BSLSENETFG","BSE SENSEX Index"
"EBBETF0431","Nifty BHARAT Bond"
"NETF","Nifty 50"
"LICNETFSEN","SENSEX"
"SBIETFPB","Nifty Private Bank Index"
"LOWVOL","Mirae Asset Nifty 100 Low Volatility 30 ETF"
"SETFGOLD","Gold"
"HNGSNGBEES","Hang Seng Index"
"DSPNEWETF","NIFTY 50 Equal Weight Index"
"GSEC5IETF","Nifty 5 yr Benchmark G-Sec Index"
"DSPSILVETF","DSP Silver ETF"
"HDFCBSE500","HDFC S&P BSE 500 ETF"
"HDFCSILVER","HDFC Silver ETF"
"BSLGOLDETF","Gold"
"SILVERBEES","Domestic price of Silver- based on LBMA Silver daily spot fixing price"
"DSPPVBKETF","DSP Nifty Private Bank ETF"
"NIFTYQLITY","Aditya Birla Sun Life Nifty 200 Quality 30 ETF"
"SILVERIETF","Domestic Price of Silver"
"MAHKTECH","Hang Seng TECH Total Return Index"
"DSPSENXETF","DSP S&P BSE Sensex ETF"
"SILVER","Physical price of Silver"
"LICNETFGSC","GSEC10 NSE Index"
"SILVERETF","UTI Silver Exchange Traded Fund (UTI Silver ETF)"
"AXISBPSETF","Nifty AAA Bond Plus SDL Apr 2026 50:50 Index"
"EBBETF0430","Nifty BHARAT Bond"
"AXISILVER","Axis Silver ETF"
"PHARMABEES","Nifty Pharma TRI"
"AXISHCETF","Nifty Healthcare Index"
"AXSENSEX","AXIS S&P BSE SENSEX ETF"
"EBBETF0425","Nifty BHARAT Bond"
"LIQUID","Mirae Asset Nifty 1D Rate Liquid ETF"
"GSEC10YEAR","Mirae Asset Nifty 8-13 yr G-Sec ETF"
"HDFCLIQUID","HDFC Nifty 1D Rate Liquid ETF"
"LIQUIDSBI","SBI NIFTY 1D Rate ETF"
"LIQUIDIETF","S&P BSE Liquid Rate Index"
"KOTAKLIQ","Kotak Nifty 1D Rate Liquid ETF"
"ABSLLIQUID","Aditya Birla Sun Life CRISIL Overnight Fund AI ETF"
"EBBETF0433","BHARAT Bond ETF-April 2033"
"SDL26BEES","Nifty SDL Apr 2026 Top 20 Equal Weight Index"
"LIQUIDETF","Nifty1D rate index"
"TATAGOLD","Tata Gold Exchange Traded Fund"
"LIQUIDBEES","Government Securities"
"IVZINGOLD","Gold"
"GILT5YBEES","Nifty 5 yr Benchmark G-Sec Index"
"MOGSEC","Nifty 5 yr Benchmark G-Sec Index"
"BBETF0432","Nifty BHARAT Bond Index - April 2032"
"SDL24BEES","Nifty CPSE Bond Plus SDL Sep 2024 50:50 Index"
"KOTAKMNC","Kotak Nifty MNC ETF"
"KOTAKSILVE","Kotak Silver ETF"
"LTGILTBEES","NIFTY 8-13 yr G-Sec Index"
"ESILVER","Edelweiss Silver ETF"
"KOTAKNV20","Nifty50 Value 20"
"SETF10GILT","Nifty 10 yr Benchmark G-Sec Index"
"GSEC10IETF","ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF"
"TATSILV","Tata Silver Exchange Traded Fund"
"DSPQ50ETF","Nifty Midcap 150 Quality 50 Index"
"KOTAKLOVOL","Kotak Nifty 100 Low Vol 30 ETF"
"LICNETFN50","Nifty 50"
