Scrip Code,COMPANY,ISIN No.,Close Price
542772,360 ONE WAM Ltd,INE466L01038,668.65
523395,3M India Ltd,INE470A01017,34079.45
524348,Aarti Drugs Ltd,INE767A01016,521.1
524208,Aarti Industries Ltd.,INE769A01020,616.35
541988,AAVAS Financiers Ltd,INE216P01012,1589.35
500002,ABB India Ltd,INE117A01022,4781.25
500488,Abbott India Ltd,INE358A01014,25721.4
500410,ACC Ltd,INE012A01025,2331.2
539254,Adani Energy Solutions Ltd,INE931S01010,1151.55
512599,Adani Enterprises Ltd,INE423A01024,3104.25
541450,Adani Green Energy Ltd,INE364U01010,1711
532921,Adani Ports and Special Economic Zone,INE742F01042,1206.85
533096,Adani Power Ltd,INE814H01011,540.95
542066,Adani Total Gas Limited,INE399L01023,1058.5
543458,Adani Wilmar Ltd,INE699H01024,367.6
540691,Aditya Birla Capital Ltd,INE674K01013,179.25
535755,Aditya Birla Fashion and Retail Ltd,INE647O01011,233.1
543374,Aditya Birla Sun Life AMC LTd,INE404A01024,498.45
500003,Aegis Logistics Ltd,INE208C01025,364.05
543534,Aether Industries Ltd,INE0BWX01014,886.45
542752,Affle (India) Ltd,INE00WC01027,1294.85
532683,AIA Engineering Ltd,INE212H01026,3746.05
532331,Ajanta Pharma Ltd,INE031B01049,2179.65
500710,Akzo Nobel India Ltd,INE133A01011,2663.1
533573,Alembic Pharmaceuticals Ltd,INE901L01018,881.1
539523,Alkem Laboratories Ltd,INE540L01014,5050.2
506767,Alkyl Amines Chemicals Ltd,INE150B01039,2480.75
521070,Alok Industries Ltd,INE270A01029,34.52
500008,Amara Raja Energy & Mobility Ltd,INE885A01032,802.65
540902,Amber Enterprises India Ltd,INE371P01015,3634.75
500425,Ambuja Cements Ltd,INE079A01024,532.4
543235,Angel One Limited,INE732I01013,3795.95
543275,Anupam Rasayan India Ltd,INE930P01018,960.05
532259,Apar Industries Ltd,INE372A01015,5309.6
533758,APL Apollo Tubes Ltd,INE702C01027,1552.25
508869,Apollo Hospitals Enterprise Ltd,INE437A01024,5797.65
500877,Apollo Tyres Ltd,INE438A01022,468.8
543335,Aptus Value Housing Finance India Ltd,INE852O01025,345.75
543657,Archean Chemical Industries Ltd,INE128X01021,623.05
515030,Asahi India Glass Ltd,INE439A01020,569.5
500477,Ashok Leyland Ltd,INE208A01029,176.65
500820,Asian Paints Ltd,INE021A01026,3278
540975,Aster DM Healthcare Ltd,INE914M01019,404.35
532830,ASTRAL LIMITED,INE006I01046,1812.1
506820,AstraZeneca Pharm India,INE203A01020,6240.9
500027,Atul Ltd.,INE100A01010,6860.7
540611,AU Small Finance Bank Ltd,INE949L01017,788.5
524804,Aurobindo Pharma Ltd,INE406A01037,1095.85
512573,Avanti Feeds Ltd,INE871C01038,546.75
540376,Avenue Supermarts Ltd,INE192R01011,3840.1
532215,Axis Bank Ltd,INE238A01034,1120.95
532977,Bajaj Auto Ltd,INE917I01010,7300.2
500034,Bajaj Finance Ltd,INE296A01024,7655.35
532978,Bajaj Finserv Ltd,INE918I01026,1651.65
500490,Bajaj Holdings and Investment Ltd,INE118A01012,8047.45
530999,Balaji Amines Ltd,INE050E01027,2551.35
502355,Balkrishna Industries Ltd,INE787D01026,2632.35
500038,Balrampur Chini Mills Ltd,INE119A01028,391.2
541153,Bandhan Bank Ltd,INE545U01014,230.1
532134,Bank of Baroda,INE028A01039,229.85
532149,Bank of India,INE084A01016,128.9
532525,Bank Of Maharashtra,INE457A01014,48.29
500042,BASF India Limited,INE373A01013,2985.5
500043,Bata India Ltimited,INE176A01028,1576.75
506285,Bayer CropScience Ltd/India,INE462A01022,5791.75
509480,Berger Paints India Ltd,INE463A01038,596.1
541143,Bharat Dynamics Ltd,INE171Z01018,1725.75
500049,Bharat Electronics Ltd,INE263A01024,183.55
500493,Bharat Forge Ltd,INE465A01025,1253.7
500103,Bharat Heavy Electricals Ltd,INE257A01026,196.4
500547,Bharat Petroleum Corp Ltd,INE029A01011,457.8
532454,Bharti Airtel Ltd,INE397D01024,1076.1
543653,Bikaji Foods International Ltd,INE00E101023,582.95
532523,Biocon Ltd,INE376G01013,274.2
500335,Birla Corp Ltd,INE340A01012,1432.95
532400,Birlasoft Ltd,INE836A01035,786.85
540073,BLS International Services Ltd,INE153T01027,373.9
526612,Blue Dart Express Ltd,INE233B01017,7326.7
500067,Blue Star Ltd,INE472A01039,1022.5
501425,Bombay Burmah Trading Corp Ltd.,INE050A01025,1652.8
502219,Borosil Renewables Ltd,INE666D01022,506
500530,Bosch Ltd,INE323A01026,23234.2
532929,Brigade Enterprises Ltd,INE791I01019,971.7
500825,Britannia Industries Ltd.,INE216A01030,5148.9
543425,C.E. Info Systems Ltd,INE0BV301023,2020.35
543523,Campus Activewear Ltd,INE278Y01022,286.3
511196,Can Fin Homes Ltd,INE477A01020,767
532483,Canara Bank,INE476A01014,462.1
524742,Caplin Point Laboratories Ltd,INE475E01026,1438.2
531595,Capri Global Capital  LTD,INE180C01026,844.9
513375,Carborundum Universal Ltd,INE120A01034,1163.9
500870,Castrol India Ltd,INE172A01027,177.9
519600,CCL Products (India) Ltd.,INE421D01022,642.7
500878,CEAT Ltd,INE482A01020,2491.95
532885,Central Bank of India,INE483A01010,51.95
532548,Century Plyboards India Ltd,INE348B01021,772.75
500040,Century Textile & Industries Ltd,INE055A01016,1492.4
532443,Cera Sanitaryware Ltd,INE739E01017,8009.55
500084,CESC Ltd,INE486A01021,140.65
500093,CG Power and Industrial Solutions Ltd,INE067A01029,460.45
542399,Chalet Hotels Ltd,INE427F01016,748.75
500085,Chambal Fertilizers & Chemicals Ltd,INE085A01013,383.65
543336,Chemplast Sanmar Ltd,INE488A01050,498.6
504973,Cholamandalam Financial Holdings Ltd,INE149A01033,1017.05
511243,Cholamandalam Investment & Finance Co. Ltd.,INE121A01024,1247.6
532756,CIE Automotive India Ltd,INE536H01010,492.05
500087,Cipla Ltd/India,INE059A01026,1308.35
532210,City Union Bank Ltd.,INE491A01021,148.65
543318,Clean Science and Technology Ltd,INE227W01023,1524.1
533278,Coal India Ltd,INE522F01014,381.1
540678,Cochin Shipyard Ltd,INE704P01025,753.95
532541,Coforge Ltd,INE591G01017,6596.1
