SYMBOL,UNDERLYING ASSET,OPEN,HIGH,LOW,PREV.CLOSE,LTP,CHNG,%CHNG,VOLUME,VALUE,NAV,52W H,52W L,30D %CHNG,365 D,365 D %CHNG,30 D
BBNPPGOLD,Baroda BNP Paribas Gold ETF,63.30,63.30,61.55,59.35,61.85,2.50,4.21,4042,0.03,61.60,65.00,56.00,-,-,-,-
MOQUALITY,Motilal Oswal S&P BSE Quality ETF,165.21,165.97,165.18,162.65,165.97,3.32,2.04,19,-,163.91,170.00,101.02,3.71,16-Jan-2023,35.13,19-Dec-2023
KOTAKALPHA,NIFTY Alpha 50 Index,42.64,43.49,42.64,42.64,43.45,0.81,1.90,1,15,740,0.50,42.68,43.49,24.19,3.9,18-Jan-2023,50.35,19-Dec-2023
MASPTOP50,S&P 500 Top 50 Total Return Index,35.45,35.79,35.14,35.13,35.73,0.60,1.71,30,143,0.11,35.70,36.25,25.61,0.75,18-Jan-2023,35.38,19-Dec-2023
MOVALUE,Motilal Oswal S&P BSE Enhanced Value ETF,81.60,82.64,81.60,81.22,82.43,1.21,1.49,11,472,0.09,81.18,87.22,46.33,3.41,18-Jan-2023,60.39,19-Dec-2023
CPSEETF,CPSE ETF,69.90,69.90,68.63,68.62,69.58,0.96,1.40,8,79,543,6.12,68.43,70.30,37.01,5.67,18-Jan-2023,78.28,19-Dec-2023
MAFANG,NYSE FANG+ Total Return Index,72.09,72.44,71.62,71.39,72.39,1.00,1.40,2,29,233,1.66,72.56,74.50,38.05,-1.08,18-Jan-2023,83.43,19-Dec-2023
IVZINNIFTY,Nifty 50,2,402.11,2,420.00,2,402.11,2,387.80,2,419.99,32.19,1.35,3,-,2,390.37,2,465.18,1,860.95,-0.5,-,-,19-Dec-2023
ICICIB22,S&P BSE BHARAT 22 index,94.00,94.00,92.00,92.54,93.74,1.20,1.30,1,83,833,1.72,92.38,94.80,55.53,3.55,18-Jan-2023,59.09,19-Dec-2023
ALPHAETF,Mirae Asset Nifty 200 Alpha 30 ETF,21.34,21.44,21.21,21.17,21.44,0.27,1.28,10,236,0.02,21.15,22.02,16.56,1.88,-,-,19-Dec-2023
HDFCSML250,HDFC NIFTY Smallcap 250 ETF,145.48,146.50,144.56,144.34,146.17,1.83,1.27,66,085,0.97,144.32,147.44,85.00,3.76,-,-,19-Dec-2023
HDFCVALUE,HDFC NIFTY50 Value 20 ETF,122.00,122.00,120.18,119.44,120.92,1.48,1.24,226,-,119.35,126.80,88.90,2.09,18-Jan-2023,25.69,19-Dec-2023
DIVOPPBEES,Nifty Dividend Opportunities 50 TRI,67.45,71.65,67.45,69.55,70.41,0.86,1.24,7,778,0.05,69.54,72.40,46.69,3.37,18-Jan-2023,41.13,19-Dec-2023
UTINEXT50,Nifty Next 50,57.60,57.66,57.27,56.93,57.59,0.66,1.16,2,254,0.01,57.03,58.70,38.44,2.54,18-Jan-2023,28.13,19-Dec-2023
TNIDETF,Nifty India Digital Index,77.34,78.97,77.07,77.34,78.24,0.90,1.16,15,717,0.12,77.09,80.91,50.60,3.04,18-Jan-2023,40.52,19-Dec-2023
